com_insee,com_nom,reg_nom,dep_nom,latitude_mairie,longitude_mairie,score_de_ville
21093,Bouix,Bourgogne-Franche-Comté,Côte-d'Or,47.9,4.468,0.3393709127462895
21626,Terrefondrée,Bourgogne-Franche-Comté,Côte-d'Or,47.728,4.842,0.3181023443162921
21544,Sainte-Colombe-en-Auxois,Bourgogne-Franche-Comté,Côte-d'Or,47.427,4.462,0.3165305863318551
21280,Fontangy,Bourgogne-Franche-Comté,Côte-d'Or,47.346,4.372,0.3244932653675982
21046,Bard-le-Régulier,Bourgogne-Franche-Comté,Côte-d'Or,47.146,4.302,0.3159586739202557
21140,Champignolles,Bourgogne-Franche-Comté,Côte-d'Or,47.051,4.568,0.3416613666772616
21414,Mimeure,Bourgogne-Franche-Comté,Côte-d'Or,47.152,4.495,0.3206401334844693
21225,Dampierre-et-Flée,Bourgogne-Franche-Comté,Côte-d'Or,47.48,5.352,0.3068673661877186
21224,Dampierre-en-Montagne,Bourgogne-Franche-Comté,Côte-d'Or,47.439,4.559,0.3332885650496539
21578,Saint-Victor-sur-Ouche,Bourgogne-Franche-Comté,Côte-d'Or,47.232,4.749,0.278065293942729
21326,Jours-lès-Baigneux,Bourgogne-Franche-Comté,Côte-d'Or,47.625,4.604,0.3435837174987974
21204,Courcelles-lès-Montbard,Bourgogne-Franche-Comté,Côte-d'Or,47.592,4.392,0.3386230254655673
21094,Bourberain,Bourgogne-Franche-Comté,Côte-d'Or,47.509,5.292,0.3207087558152312
21693,Villedieu,Bourgogne-Franche-Comté,Côte-d'Or,47.908,4.384,0.3400645127464773
21024,Arnay-sous-Vitteaux,Bourgogne-Franche-Comté,Côte-d'Or,47.437,4.499,0.3406151661139527
21102,Brazey-en-Morvan,Bourgogne-Franche-Comté,Côte-d'Or,47.172,4.276,0.3141427320075442
21182,Collonges-lès-Bévy,Bourgogne-Franche-Comté,Côte-d'Or,47.172,4.838,0.3106599834905717
21344,Lechâtelet,Bourgogne-Franche-Comté,Côte-d'Or,47.053,5.142,0.3206849444005542
21176,Civry-en-Montagne,Bourgogne-Franche-Comté,Côte-d'Or,47.29,4.606,0.3560379047771936
21678,Vic-sous-Thil,Bourgogne-Franche-Comté,Côte-d'Or,47.367,4.318,0.304347174146189
21561,Saint-Martin-du-Mont,Bourgogne-Franche-Comté,Côte-d'Or,47.415,4.812,0.4154685386010983
21202,Courban,Bourgogne-Franche-Comté,Côte-d'Or,47.916,4.739,0.3355416861957185
21468,Orain,Bourgogne-Franche-Comté,Côte-d'Or,47.61,5.435,0.358966809045372
21691,Villebichot,Bourgogne-Franche-Comté,Côte-d'Or,47.14,5.042,0.2902384152484814
21387,Marigny-lès-Reullée,Bourgogne-Franche-Comté,Côte-d'Or,47.008,4.958,0.3086307950389224
21567,Saint-Prix-lès-Arnay,Bourgogne-Franche-Comté,Côte-d'Or,47.113,4.504,0.3414475562117397
21548,Saint-Germain-de-Modéon,Bourgogne-Franche-Comté,Côte-d'Or,47.372,4.124,0.3267997378648379
21477,Panges,Bourgogne-Franche-Comté,Côte-d'Or,47.374,4.803,0.3373056710950839
21084,Source-Seine,Bourgogne-Franche-Comté,Côte-d'Or,47.489,4.697,0.3031252068872427
21333,Labruyère,Bourgogne-Franche-Comté,Côte-d'Or,47.038,5.142,0.3153512917581927
21082,Blancey,Bourgogne-Franche-Comté,Côte-d'Or,47.303,4.46,0.3259330758199533
